Manufacturer,Model Name,MP,Channels
3xLogic Inc,VX-5M-B-RIAW,5,1
3xLogic Inc,VX-5M4-MD-IAW,5,1
3xLogic Inc,VX-8M-180-IAW,8,1
ACTi,A71,4,1
ACTi,A62,5,1
ACTi,A92,3,1
ACTi,E37,10,1
Amcrest,IP8M-2496EW-AI,8,1
Amcrest,IP8M-T2669E-AI,8,1
Amcrest,IP5M-D1188EW-AI-V3,5,1
Arecont Vision,AV02CID-200,2.1,1
Arecont Vision,AV12176DN,12,5
Arecont Vision,AV20175DN,20,5
Arecont Vision,AV20275DN,20,4
Arecont Vision,AV4656DN,4,3
Arecont Vision,AV4956DN,4,2
Arecont Vision,AV8185DN,8,5
Arecont Vision,10655DN,10,2
Ava,360-W-30,12,1
Ava,BULLET-TE-W-4K-30,8,1
Ava,QUAD-20MP-30,20,4
Avigilon,1.0-H3-DC1,1,1
Avigilon,1.0C-H4A-B2,1,1
Avigilon,1.3C-H4SL-D1,1.3,1
Avigilon,1.3C-H4SL-D1-IR,1.3,1
Avigilon,1.3C-H5SL-DO1-IR,1.3,1
Avigilon,1.3L-H3-D1,1.3,1
Avigilon,10.0C-H5DH-D1-IR,10,1
Avigilon,10.0C-H5DH-DO1-IR,10,1
Avigilon,12.0W-H5A-FE-DO1,12,1
Avigilon,12.0W-H5A-FE-DO1-IR,12,1
Avigilon,15C-H4A-3MH-180,5,3
Avigilon,15C-H4A-3MH-270,5,3
Avigilon,2.0-H3-B1,2,1
Avigilon,2.0-H3-B2,2,1
Avigilon,2.0-H3-B3,2,1
Avigilon,2.0-H3-D1,2,1
Avigilon,2.0-H3-DC1,2,1
Avigilon,2.0-H3-DP1,2,1
Avigilon,2.0-H3M-DC1,2,1
Avigilon,2.0-H3M-DO1,2,1
Avigilon,2.0C-H3A-D1,2,1
Avigilon,2.0C-H4A-DC1,2,1
Avigilon,2.0C-H4A-DO1-IR,2,1
Avigilon,2.0C-H4M-D1,2,1
Avigilon,2.0C-H4SL-D1,2,1
Avigilon,2.0C-H4SL-DO1-IR,2,1
Avigilon,2.0C-H5A-BO1-IR,2,1
Avigilon,2.0C-H5A-DC1-IR,2,1
Avigilon,2.0C-H5A-DO1-IR,2,1
Avigilon,2.0C-H5M-DO1-IR,2,1
Avigilon,2.0C-H5SL-D1,2,1
Avigilon,2.0W-H3-BO2-IR,2,1
Avigilon,20C-H4A-4MH-360,5,4
Avigilon,20C-H5A-4MH,5,4
Avigilon,24C-H4A-3MH-180,8,3
Avigilon,24C-H5A-3MH,8,3
Avigilon,3.0C-H4A-D1,3,1
Avigilon,3.0C-H4A-D1-IR,3,1
Avigilon,3.0C-H4SL-BO1-IR,3,1
Avigilon,3.0C-H4SL-D1,3,1
Avigilon,3.0C-H4SL-D1-IR,3,1
Avigilon,3.0C-H4VI-RO1-IR,3,1
Avigilon,3.0C-H5A-CR1-IR,3,1
Avigilon,3.0C-H5SL-BO1-IR,3,1
Avigilon,3.0W-H3-DO1-IR,3,1
Avigilon,360-W-30,12,1
Avigilon,4.0C-H5A-BO1-IR,4,1
Avigilon,4.0C-H5A-BO2-IR,4,1
Avigilon,4.0C-H5A-DO1-IR,4,1
Avigilon,4.0C-H5A-DO1-IR(3275675),4,1
Avigilon,5.0-H3-BO1-IR,5,1
Avigilon,5.0-H3-DO1,5,1
Avigilon,5.0C-H5M-DO1-IR,5,1
Avigilon,5.0C-H5M-DO1-IR(5564422),5,1
Avigilon,5.0C-H5SL-BO1-IR,5,1
Avigilon,5.0C-H5SL-DO1-IR,5,1
Avigilon,5.0C-H6SL-D1-IR,5,1
Avigilon,5.0L-H4A-BO1-IR,5,1
Avigilon,5.0L-H4A-BO1-IR-B,5,1
Avigilon,5.0L-H4A-BO2-IR,5,1
Avigilon,6.0C-H5A-BO1-IR,6,1
Avigilon,6.0C-H5A-D1-IR,6,1
Avigilon,6.0C-H5A-DO1-IR,6,1
Avigilon,6.0C-H5DH-DO1-IR,6,1
Avigilon,640F-H5A-THR-BO32,1,1
Avigilon,640S-H4A-THC-BO12,1,1
Avigilon,8.0C-H5A-BO1-IR,8,1
Avigilon,8.0C-H5A-FE-DO1,8,1
Avigilon,8.0C-H6A-BO1-IR,8,1
Avigilon,9W-H3-3MH-DC1,3,3
Avigilon,9W-H3-3MH-DP1,3,3
Avigilon,BULLET-TE-W-4K-30,8,1
Avigilon,DOME-W-4K-30,8,1
Avigilon,ENC-4P-H264,2,4
Avigilon,H5A-MOD-2P,2,1
Avigilon,QUAD-20MP-30,5,4
Axis,A8105-E,2,1
Axis,M3057-PLVE Mk II,6,1
Axis,P5624-E Mk II,1.3,1
Axis,P8221,0,0
Axis,P3265-V,2,1
Axis,M1125,2,1
Axis,P3245-VE,1.3,1
Axis,P3343-VE,1,1
Axis,P3248-LVE,8,1
Axis,P7304,0,0
Axis,P3364-V,1,1
Axis,M5014,1,1
Axis,P3268-LVE,8,1
Axis,P3343,1,1
Axis,M3007,5,1
Axis,M3007-PV,5,1
Axis,M3015,2,1
Axis,M3203,0.5,1
Axis,M2014-E,1,1
Axis,M2026-LE,4,1
Axis,P3225-VE Mk II,2,1
Axis,P3228-LV,8,1
Axis,240Q,0,0
Axis,Q6054-E,1,1
Axis,Q6035-E,2,1
Axis,P3301,0.3,1
Axis,P3364,1.2,1
Axis,P3367,5,1
Axis,P1357,5,1
Axis,P-3245-LV,2,1
Axis,P3707-PE,8,4
Axis,P3719-PLE,14,4
Axis,P3737-PLE,20,4
Axis,P3354-V,1,1
Axis,P3364-LV,1,1
Axis,Q3538-LVE,8,1
Axis,Q3538-LVE,8,1
Axis,Q1647-LE,5,1
Axis,D2110-VE,2,1
Axis,D2210-VE,2,1
Axis,ExCam XF P3807,8,5
Axis,XPT Q6055,12,1
Axis,FA51,2,1
Axis,M1055-L,2,1
Axis,M1135 Mk II,2,1
Axis,M1137 Mk II,5,1
Axis,M1145-L,2,1
Axis,M3044-V,1,1
Axis,M3067-P,4,1
Axis,M3068-P,8,1
Axis,M3077-PLVE,4,1
Axis,M3085-V,3,1
Axis,M3086-V,4,1
Axis,M3088-V,8,1
Axis,M3116-LVE,4,1
Axis,M3205-LVE,2,1
Axis,M4215-LV,2,1
Axis,M4216-V,4,1
Axis,M4218-LV,8,1
Axis,M4317-PLVE,4,1
Axis,M4318-PLVE,8,1
Axis,M5000,15,5
Axis,M5000-G,15,1
Axis,M5074,1,1
Axis,M5075,2,1
Axis,M5075-G,2,1
Axis,M5526-E,4,1
Axis,M7001,,
Axis,P1375,2,1
Axis,P1377,5,1
Axis,P1378-LE,8,1
Axis,P1385,2,1
Axis,P1385-B,2,1
Axis,P1387,5,1
Axis,P1387-B,5,1
Axis,P1388,8,1
Axis,P1388-B,8,1
Axis,P1388-LE,8,1
Axis,P1445-LE,2,1
Axis,P1445-LE-3,2,1
Axis,P1447-LE,5,1
Axis,P1448-LE,8,1
Axis,P1455-LE,2,1
Axis,P1455-LE 29 mm,2,1
Axis,P1455-LE-3,2,1
Axis,P1465-LE,2,1
Axis,P1465-LE-3,2,1
Axis,P1467-LE,5,1
Axis,P1468-LE,8,1
Axis,P1468-XLE,8,1
Axis,P3225-LVE Mk II,2,1
Axis,P3227-LV,5,1
Axis,P3228-LV,8,1
Axis,P3265-LVE,2,1
Axis,P3267-LVE,5,1
Axis,P3715-PLVE,4,2
Axis,P3717-PLE,8,4
Axis,P3717,8,4
Axis,P3719-PLE,20,4
Axis,P3727-PLE,8,5
Axis,P3735-PLE,20,5
Axis,P3737-PLE,20,5
Axis,P3738-PLE,32,5
Axis,P3807-PVE,8,1
Axis,P3818-PVE,13,1
Axis,P3827-PVE,7,1
Axis,P3925-LRE,2,1
Axis,P3925-R,2,1
Axis,P3935-LR,2,1
Axis,P4705-PLVE,4,3
Axis,P4707-PLVE,10,3
Axis,P5654-E,1,1
Axis,P5654-E Mk II,2,1
Axis,P5655-E,2,1
Axis,P5676-LE,4,1
Axis,P3224-V-Mk II,1.3,1
Axis,Q1615 Mk III,2,1
Axis,Q1647,5,1
Axis,Q1656,4,1
Axis,Q1656-B,4,1
Axis,Q1656-BE,4,1
Axis,Q1656-DLE,4,1
Axis,Q1656-LE,4,1
Axis,Q1659,20,1
Axis,Q1700-LE,2,1
Axis,Q1785-LE,2,1
Axis,Q1786-LE,4,1
Axis,Q1798-LE,8,1
Axis,Q1805-LE,2,1
Axis,Q1806-LE,5,1
Axis,Q1808-LE,8,1
Axis,Q1951-E,0.5,1
Axis,Q1952-E,0.5,1
Axis,Q1961-TE,0.5,1
Axis,Q1961-XTE,0.5,1
Axis,Q3515,2,1
Axis,Q3517,5,1
Axis,Q3527-LVE,5,1
Axis,Q3536-LVE,4,1
Axis,Q3538-LVE,8,1
Axis,Q3819-PVE,14,1
Axis,Q3709-PVE,8,1
Axis,Q6010-E,20,4
Axis,Q6055-E,8,1
Axis,Q6074,1,1
Axis,Q6074-E,1,1
Axis,Q6075,2,1
Axis,Q6075-E,2,1
Axis,Q6075-S,2,1
Axis,Q6075-SE,2,1
Axis,Q6078-E,8,1
Axis,Q6100-E,20,4
Axis,Q6135-LE,2,1
Axis,Q6215-LE,2,1
Axis,Q6225-LE,2,1
Axis,Q6315-LE,2,1
Axis,Q6318-LE,8,1
Axis,Q8615-E,2,1
Axis,Q8752-E,2,3
Axis,XFQ1656,4,1
Axis,XPQ1785,2,1
Axis,Q1942-E,0.3,1
Axis,P1354,1,1
Axis,M4308-PLE,12,1
Advidia,M-45-FW-V2,4,1
Advidia,M-46-V,4,1
Bosch,DINION 5100i IR,8,1
Bosch,DINION IP thermal 8000,0.3,1
Bosch,FLEXIDOME IP 4000i,2,1
Bosch,FLEXIDOME IP indoor 5000 MP,5,1
Bosch,FLEXIDOME IP outdoor 4000 HD,2,1
Bosch,FLEXIDOME IP 5000i,5,1
Bosch,FLEXIDOME IP 4000i IR,2,1
Bosch,FLEXIDOME IP indoor 5000 IR,2,1
Bosch,FLEXIDOME IP outdoor 4000 IR,2,1
Bosch,FLEXIDOME IP outdoor 5000 IR,2,1
Bosch,FLEXIDOME IP panoramic 7000 MP,12,1
Bosch,FLEXIDOME IP panoramic 7000 MP outdoor,12,1
Bosch,FLEXIDOME IP starlight 7000 VR,1,1
Bosch,FLEXIDOME IP starlight 8000i,2,1
Bosch,FLEXIDOME corner 7100i IR,6,1
Bosch,FLEXIDOME panoramic 5100i,12,1
Bosch,FLEXIDOME panoramic 5100i IR,12,
Bosch,NDV-8502-RX,2,1
Bosch,MIC IP starlight 7000 HD (CPP4),4,1
Bosch,MIC IP Starlight 7100i (CPP 7.3),2,1
Dahua,4A425DBNR,4,1
Dahua,N43AN52,4,1
Dahua,DH-IPC-PFW5849-A180-E2-ASTE,8,3
Dahua,DH-IPC-HFW1431S1N-S4,4,1
Dahua,N41CJ02,4,1
Dahua,N42BJ62,4,1
Dahua,N45DM62,4,1
Dahua,N45EFN2,4,1
Dahua,N45FY62,4,1
Dahua,N55CS5,5,1
Dahua,N81CJ02,8,1
Dahua,N85FF62,8,1
Dahua,N44CL52,4,1
Digital Watchdog,DWC-MV82WiA,2.1,1
DigitalWatchdog,DWC-MT94Wi28T,4,1
DigitalWatchdog,DWC-MV95Wi36TW,5,1
Enviro,EC-IRD4-28,2,1
Flir,DH-390 2MP,2,1
GeoVision,GV-BLFC5800,5,1
GeoVision,GV-EBD8800,8,1
GeoVision,GV-MDR220,2,1
GeoVision,GV-PBL8800,8,1
GeoVision,GV-VD1540,1.3,1
GeoVision,GV-PDR8800,8,1
GeoVision,GV-FER521,5,1
GeoVision,GV-R500F2,5,1
GeoVision,GV-EBD4813,4,1
Hunt Electronics,HNC344-XD/LU,4,1
Hanwha,ANE-L6012R,2,1
Hanwha,XND-6081RV,2,1
Hanwha,QND-7082R,4,1
Hanwha,SNV-5084,1.3,1
Hanwha,XND-9082RV,8,1
Hanwha,ANE-L7012R,4,1
Hanwha,XND-6080V,2,1
Hanwha,ANO-L6012R,2,1
Hanwha,ANO-L7012R,4,1
Hanwha,ANO-L7022R,4,1
Hanwha,ANV-L6012R,2,1
Hanwha,ANV-L7012R,4,1
Hanwha,PNM-12082RVD,6,2
Hanwha,PNM-7002VD,2,2
Hanwha,PNM-8082VT,6,4
Hanwha,PNM-9000VD,10,3
Hanwha,PNM-9022V,8,1
Hanwha,PNM-9031RV,15,1
Hanwha,PNM-C12083RVD,6,2
Hanwha,PNM-C16083RVQ,12,4
Hanwha,PNM-C32083RVQ,32,4
Hanwha,PNM-9002VQ,5,2
Hanwha,PNV-A6081R,2,1
Hanwha,QND-6021,2,1
Hanwha,QND-8010R,5,1
Hanwha,QND-6070R,2,1
Hanwha,QNF-9010,12,1
Hanwha,QNO-8010R,5,1
Hanwha,QNP-6320,2,1
Hanwha,QNV-C9083R,8,1
Hanwha,QNV-7010R,4,1
Hanwha,QNP-6250,2,1
Hanwha,SNV-8080,5,1
Hanwha,SPE-1620,2,16
Hanwha,SND-L6013,2,1
Hanwha,TNU-6321,2,1
Hanwha,XNB-6003,2,1
Hanwha,XNB-8003,6,1
Hanwha,XNB-9003,8,1
Hanwha,XND-6080RV,2,1
Hanwha,XND-6083RV,2,1
